"","gene_type","gene_name"
"2487","protein_coding","OR4F5"
"6558","protein_coding","OR4F29"
"7173","protein_coding","OR4F16"
"8431","protein_coding","SAMD11"
"8831","protein_coding","NOC2L"
"11570","protein_coding","KLHL17"
"11793","protein_coding","PLEKHN1"
"12163","protein_coding","PERM1"
"12322","protein_coding","HES4"
"12377","protein_coding","ISG15"
"12433","protein_coding","AGRN"
"13110","protein_coding","RNF223"
"13120","protein_coding","C1orf159"
"14380","protein_coding","TTLL10"
"14761","protein_coding","TNFRSF18"
"14816","protein_coding","TNFRSF4"
"15022","protein_coding","SDF4"
"15358","protein_coding","B3GALT6"
"15366","protein_coding","C1QTNF12"
"15405","protein_coding","UBE2J2"
"15975","protein_coding","SCNN1D"
"16194","protein_coding","ACAP3"
"17174","protein_coding","PUSL1"
"17276","protein_coding","INTS11"
"18274","protein_coding","CPTP"
"18377","protein_coding","TAS1R3"
"18395","protein_coding","DVL1"
"18743","protein_coding","MXRA8"
"18964","protein_coding","AURKAIP1"
"19167","protein_coding","CCNL2"
"19708","protein_coding","MRPL20"
"19849","protein_coding","ANKRD65"
"19933","protein_coding","TMEM88B"
"20097","protein_coding","VWA1"
"20154","protein_coding","ATAD3C"
"20202","protein_coding","ATAD3B"
"20470","protein_coding","ATAD3A"
"20878","protein_coding","TMEM240"
"20905","protein_coding","SSU72"
"21020","protein_coding","FNDC10"
"21044","protein_coding","MIB2"
"27520","protein_coding","MMP23B"
"27702","protein_coding","CDK11B"
"28543","protein_coding","SLC35E2B"
"29113","protein_coding","CDK11A"
"29908","protein_coding","NADK"
"30872","protein_coding","GNB1"
"34304","protein_coding","CALML6"
"34345","protein_coding","TMEM52"
"34434","protein_coding","CFAP74"
"34708","protein_coding","GABRD"
"35028","protein_coding","PRKCZ"
"35652","protein_coding","FAAP20"
"35864","protein_coding","SKI"
"36010","protein_coding","MORN1"
"36410","protein_coding","RER1"
"37321","protein_coding","PEX10"
"37475","protein_coding","PLCH2"
"37715","protein_coding","PANK4"
"38376","protein_coding","HES5"
"38470","protein_coding","TNFRSF14"
"38986","protein_coding","PRXL2B"
"39284","protein_coding","MMEL1"
"39506","protein_coding","TTC34"
"39615","protein_coding","ACTRT2"
"39810","protein_coding","PRDM16"
"40084","protein_coding","ARHGEF16"
"40403","protein_coding","MEGF6"
"41935","protein_coding","TPRG1L"
"41979","protein_coding","WRAP73"
"42399","protein_coding","TP73"
"43042","protein_coding","CCDC27"
"43113","protein_coding","SMIM1"
"43245","protein_coding","LRRC47"
"43437","protein_coding","CEP104"
"44703","protein_coding","DFFB"
"44913","protein_coding","C1orf174"
"45484","protein_coding","AJAP1"
"45730","protein_coding","NPHP4"
"47520","protein_coding","KCNAB2"
"48516","protein_coding","CHD5"
"48812","protein_coding","ENSG00000285629"
"48828","protein_coding","RPL22"
"48980","protein_coding","RNF207"
"49755","protein_coding","ICMT"
"49902","protein_coding","HES3"
"49929","protein_coding","GPR153"
"49998","protein_coding","ACOT7"
"50257","protein_coding","HES2"
"50365","protein_coding","ESPN"
"50580","protein_coding","TNFRSF25"
"50936","protein_coding","PLEKHG5"
"52326","protein_coding","NOL9"
"52542","protein_coding","TAS1R1"
"52593","protein_coding","ZBTB48"
"53009","protein_coding","KLHL21"
"53078","protein_coding","PHF13"
"53106","protein_coding","THAP3"
"53309","protein_coding","DNAJC11"
