#motif_id	motif_name	motif_description	source_name	source_version	gene_name	motif_similarity_qvalue	similar_motif_id	similar_motif_description	orthologous_identity	orthologous_gene_name	orthologous_species	description
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	HNF4A	0	None	None	0.270042	FBgn0003964	D. melanogaster	gene is orthologous to FBgn0003964 in D. melanogaster (identity = 27%) which is directly annotated for motif
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	HNF4G	0	None	None	0.276923	FBgn0003964	D. melanogaster	gene is orthologous to FBgn0003964 in D. melanogaster (identity = 27%) which is directly annotated for motif
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	NR1D1	0	None	None	0.15798	FBgn0000546	D. melanogaster	gene is orthologous to FBgn0000546 in D. melanogaster (identity = 15%) which is directly annotated for motif
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	NR1D2	0	None	None	0.170984	FBgn0000546	D. melanogaster	gene is orthologous to FBgn0000546 in D. melanogaster (identity = 17%) which is directly annotated for motif
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	NR1H2	0	None	None	0.317391	FBgn0000546	D. melanogaster	gene is orthologous to FBgn0000546 in D. melanogaster (identity = 31%) which is directly annotated for motif
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	NR1H3	0	None	None	0.326622	FBgn0000546	D. melanogaster	gene is orthologous to FBgn0000546 in D. melanogaster (identity = 32%) which is directly annotated for motif
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	NR1H4	8.14648e-09	metacluster_64.14	NR1H4::RXRA	1	None	None	gene is annotated for similar motif jaspar__MA1146.1 ('NR1H4::RXRA'; q-value = 8.15e-09)
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	NR1I2	0	None	None	0.228111	FBgn0000546	D. melanogaster	gene is orthologous to FBgn0000546 in D. melanogaster (identity = 22%) which is directly annotated for motif
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	NR2C1	0	None	None	0.216535	FBgn0003964	D. melanogaster	motif is annotated for orthologous gene FBgn0003964 in D. melanogaster (identity = 21%)
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	NR2C2	0	None	None	0.23622	FBgn0003964	D. melanogaster	motif is annotated for orthologous gene FBgn0003964 in D. melanogaster (identity = 23%)
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	NR2F1	8.38436e-08	metacluster_64.14	NR2F1 [Nuclear_receptor]	1	None	None	gene is annotated for similar motif taipale_cyt_meth__NR2F1_NRGGTCRNTGACCYN_eDBD ('NR2F1 [Nuclear_receptor]'; q-value = 8.38e-08)
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	NR2F2	0	None	None	0.309179	FBgn0003964	D. melanogaster	gene is orthologous to FBgn0003964 in D. melanogaster (identity = 30%) which is directly annotated for motif
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	NR2F6	0	None	None	0.30198	FBgn0003964	D. melanogaster	gene is orthologous to FBgn0003964 in D. melanogaster (identity = 30%) which is directly annotated for motif
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	NR4A2	4.61539e-10	metacluster_64.14	NR4A2::RXRA	1	None	None	gene is annotated for similar motif jaspar__MA1147.1 ('NR4A2::RXRA'; q-value = 4.62e-10)
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	PPARA	0	None	None	0.200855	FBgn0000546	D. melanogaster	gene is orthologous to FBgn0000546 in D. melanogaster (identity = 20%) which is directly annotated for motif
